GuessSync E63 — «Guess the Dessert» — image attributions
Source: Wikimedia Commons. Each line: slug | dessert | author | license | source URL
turkishdelight | Turkish Delight | Chris Brown | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Turkish_Delight_lokum.jpg
dango | Dango | denver935 | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Mitarashi_dango_by_denver935.jpg
dorayaki | Dorayaki | Choo Yut Shing from Singapore, Singapore | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Dorayaki_(54091920195).jpg
taiyaki | Taiyaki | Ocdp | CC0 | https://commons.wikimedia.org/wiki/File:Taiyaki_005.jpg
rugelach | Rugelach | Peteravivangel | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Rugelach-Israeli_Pastries4.jpg
ummali | Umm Ali | Miansari66 | CC0 | https://commons.wikimedia.org/wiki/File:Umm_Ali.JPG
kouignamann | Kouign-amann | Fuzheado | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Kouign_amann_pastry_from_B._Patisserie_in_San_Francisco.JPG
cassata | Cassata | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Cassata.jpg
sfogliatella | Sfogliatella | stu_spivack | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Sfogliatelle_on_plate.jpg
zeppole | Zeppole | Lucas81 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Zeppole_di_San_Giuseppe.jpg
cannele | Canelé | Rhododendrites | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Cannele_(12559).jpg
galaktoboureko | Galaktoboureko | Jason Hollinger | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Galaktoboureko_-_custard_in_phyllo_-_Flickr_-_pellaea.jpg
loukoumades | Loukoumades | Alpha from Melbourne, Australia | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Loukoumades_Greek_Doughnuts_with_Walnuts_and_Honey.jpg
revani | Revani | Akerbeltz | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Greek_revani.JPG
tulumba | Tulumba | Zeynel Cebeci | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Halka_ve_Tulumba_tatl%C4%B1s%C4%B1.jpg
maamoul | Maamoul | روتانا | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Ma%27amoul_Filled_with_Dates_and_Nuts.jpg
luqaimat | Luqaimat | Benreis | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Lokma_Galata_Bridge.JPG
qatayef | Qatayef | Fjmustak | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:%D9%82%D8%B7%D8%A7%D9%8A%D9%81_%D9%85%D8%AD%D8%B4%D9%88%D8%A9_%D8%A8%D8%A7%D9%84%D8%AC%D8%A8%D9%86.jpg
mooncake | Mooncake | Ralff Nestor Nacor | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Mooncake_slices,_Aug_2024.jpg
tangyuan | Tangyuan | GT#4 - thank you for your support from Singapore | CC0 | https://commons.wikimedia.org/wiki/File:Transparent_tangyuan_(glutinous_rice_balls,_%E6%B1%A4%E5%9C%86)_-_Flickr_-_GeorgeTan%5E4_-_Thanks_for_your_support.jpg
hotteok | Hotteok | by Sung Sook | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Korean.dessert-Hoddeok-02.jpg
bingsu | Bingsu | by lismith28 at Flickr | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Korean_shaved_ice-Patbingsu-13.jpg
halohalo | Halo-halo | Asecretfanfare | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:A_glass_of_Halo-Halo_(shaved_or_crushed_ice_dessert_in_the_Philippines).jpg
bibingka | Bibingka | Obsidian Soul | CC0 | https://commons.wikimedia.org/wiki/File:Bibingka_(Philippines).jpg
klepon | Klepon | Robijuniarta | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Klepon_Khas_Tulungagung.jpg
chimneycake | Chimney Cake | Cyril5555 | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:K%C3%BCrt%C5%91skal%C3%A1cs2011.jpg
kulfi | Kulfi | Shreya13jain | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Kulfi_ice-cream.jpg
barfi | Barfi | Ashok Kumar P S | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Kaju_barfi_-_1.jpg
sandesh | Sandesh | Billjones94 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Indian_Bengali_Aam_sandesh,_a_type_of_popular_sweet_(confectionery),_photographed_by_Yogabrata_Chakraborty,_on_May_11,_2023.jpg
mishtidoi | Mishti Doi | Kirti Poddar | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Mishti_Doi.jpg
kladdkaka | Kladdkaka | No machine-readable author provided. Meloday assumed (based on copyright claims). | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Kaffereptarta.jpg

Total: 100/100 attributed.
