GuessSync E63 — «Guess the Nut or Seed» — Image Attributions
100 real nut / seed / legume photos sourced from Wikimedia Commons / Wikipedia.
Images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that.
Format: slug — Name | Author | License | Source
teparybean — Tepary Bean | Tracey Slotta | Public domain | https://commons.wikimedia.org/wiki/File:Phaseolusacutifolius.jpg
hyacinthbean — Hyacinth Bean | Forest and Kim Starr | CC BY 3.0 us | https://commons.wikimedia.org/wiki/File:Starr-121108-0713-Lablab%20purpureus-seeds-Pali%20o%20Waipio-Maui%20(24569152723).jpg
jackbean — Jack Bean | Roger Culos | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Canavalia%20ensiformis%20MHNT.BOT.2013.22.55.jpg
yardlongbean — Yardlong Bean | David | Public domain | https://commons.wikimedia.org/wiki/File:Long%20Bean.JPG
maramabean — Marama Bean | NoodleToo (talk) | Public domain | https://commons.wikimedia.org/wiki/File:Tylosema%20esculenta%20seed%20in%20pod.PNG
guarbean — Guar Bean | Ton Rulkens from Mozambique | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Guar%20seeds%20(7856427394).jpg
carob — Carob | muffinn from Worcester, UK | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Fuseta%20-%20carob%20pods%20(13401253445).jpg
jobstears — Job's Tears | Lionel Allorge | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Seeds%20of%20Coix%20lacryma-jobi.jpg
perillaseed — Perilla Seed | ally j | CC0 | https://commons.wikimedia.org/wiki/File:Perilla%20seeds.jpg
nigerseed — Niger Seed | Gaurav Dhwaj Khadka | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Niger%20Seed.jpg
safflowerseed — Safflower Seed | Roger Culos | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Carthamus%20tinctorius%20MHNT.BOT.2011.3.34.jpg
camelinaseed — Camelina Seed | Marie PORTAS | CC BY-SA 2.0 fr | https://commons.wikimedia.org/wiki/File:Camelina%20sativa%20fruit%20seed%20(1).jpg
cottonseed — Cottonseed | Vikas Suroshe | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Seeds%20of%20cotton.jpg
grasspea — Grass Pea | Quaaludes | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Lathyrus%20sativus%20seeds.JPG
bittervetch — Bitter Vetch | Tracey Slotta, USDA-NRCS PLANTS Database | Public domain | https://commons.wikimedia.org/wiki/File:Vier81%20001%20php.jpg

[IMPOSSIBLE]
tigernut — Tiger Nut | Adimora chidinma | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Tiger%20nuts%201.jpg
kolanut — Kola Nut | Benoît Prieur | CC0 | https://commons.wikimedia.org/wiki/File:Grand%20Frais%20(Beynost)%20noix%20de%20cola%20de%20C%C3%B4te%20d'Ivoire%20(ao%C3%BBt%202023).jpg
ginkgonut — Ginkgo Nut | Fumikas Sagisavas | CC0 | https://commons.wikimedia.org/wiki/File:Peeled%20ginkgo%20nuts.jpg
barunut — Baru Nut | Marciana Lopes | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Castanha%20de%20Baru.jpg
sachainchi — Sacha Inchi | Michael Hermann | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Plukenetia%20volubilis%20(Sacha%20Inchi)%20Euphorbiaceae%20Peru.png
candlenut — Candlenut | Andri Kesenja 01 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Kemiri%20atau%20damo.jpg
breadnut — Breadnut | Janhendrix | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Brosimum%20alicastrum%20Fruit%20OpenwithSeed%20MeridaMX.jpg
