# GuessSync E-cats2 «Guess the Cat» v2 — image attributions (Wikimedia Commons, free licenses only).
# Columns: slug	name	file	author	license	source_url

tickedtabby	Ticked Tabby	File:Black-ticked-tabby-oriental-shorthair-kitten.jpg	Felinlove	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Black-ticked-tabby-oriental-shorthair-kitten.jpg
browntabby	Brown Tabby	File:Tabby-cat brown our new pet 30062015 5046.jpg	Johann Jaritz	CC BY-SA 3.0 at	https://commons.wikimedia.org/wiki/File:Tabby-cat_brown_our_new_pet_30062015_5046.jpg
bluetabby	Blue Tabby	File:Blue and white tabby cat–IMG 6442 02.jpg	Kızıl	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Blue_and_white_tabby_cat%E2%80%93IMG_6442_02.jpg
creamtabby	Cream Tabby	File:Cream silver tabby cat from Taiwan 04.jpg	RLS STUDIO 紅綠燈創作攝影工作室-婚攝AK	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Cream_silver_tabby_cat_from_Taiwan_04.jpg
patchedtabby	Patched Tabby	File:Cat Lying Down on a Patch of Grass.jpg	Asabae2752	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Cat_Lying_Down_on_a_Patch_of_Grass.jpg
blacksmoke	Black Smoke	File:Black smoke short-haired cat head.jpg	Jojo snapshots	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Black_smoke_short-haired_cat_head.jpg
redsmoke	Red Smoke	File:Cat-sleeping-on-head.jpg	Mark Marek Mark Marek Copyright Mark Marek Photography ©2007 URL: Predatory Behavior of Cats in Pictures on Alberta Stars	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Cat-sleeping-on-head.jpg
tabbywhite	Tabby and White	File:Brown and White Tabby Cat.jpg	Panini!	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Brown_and_White_Tabby_Cat.jpg
cypruscat	Cyprus Cat	File:CyprusShorthair.jpg	Riannacone	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:CyprusShorthair.jpg
vanbicolor	Van Bicolor	File:Turkish Van cat transparent.png	Matsu1024	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Turkish_Van_cat_transparent.png
dilutecalico	Dilute Calico	File:Dilute calico cat on Bulgurcu St.jpg	Furkanakkurt8015	CC0	https://commons.wikimedia.org/wiki/File:Dilute_calico_cat_on_Bulgurcu_St.jpg
chocolatetabby	Chocolate Tabby	File:Chocolate Tabby (4316100294).jpg	Lil Shepherd from United Kingdom	CC BY 2.0	https://commons.wikimedia.org/wiki/File:Chocolate_Tabby_(4316100294).jpg
greytabby	Grey Tabby	File:Grey tabby cat in Tashkent 2025-08-13.jpg	UzAtio	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Grey_tabby_cat_in_Tashkent_2025-08-13.jpg
marbledtabby	Marbled Tabby	File:Marbled red tabby in Tuntorp, Brastad.jpg	W.carter	CC BY 4.0	https://commons.wikimedia.org/wiki/File:Marbled_red_tabby_in_Tuntorp,_Brastad.jpg
cinnamontabby	Cinnamon Tabby	File:Asian tabby cat transparent.png	Matt Buck from London, United Kingdom	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Asian_tabby_cat_transparent.png
bluecreampoint	Blue-Cream Point	File:Blu-tortie-point-masch.jpg	The original uploader was Claudiabirmani at English Wikipedia.	CC BY-SA 2.5	https://commons.wikimedia.org/wiki/File:Blu-tortie-point-masch.jpg
sealtortiepoint	Seal Tortie Point	File:Siam-Katze-seal-tortie-point-white.jpg	Kamée	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Siam-Katze-seal-tortie-point-white.jpg
chocolatebicolor	Chocolate Bicolor	File:Brown and white cat 1.jpg	דג קטן	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Brown_and_white_cat_1.jpg
bluebicolor	Blue Bicolor	File:Grey and white cat 04.jpg	Guycn2	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Grey_and_white_cat_04.jpg
redbicolor	Red Bicolor	File:Ginger and White Cat.jpg	Roobee11	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Ginger_and_White_Cat.jpg
caramelpoint	Caramel Point	File:NEV FleurAmour Caramel Frossika (15649547626).jpg	Nickolas Titkov from Moscow, Russian Federation	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:NEV_FleurAmour_Caramel_Frossika_(15649547626).jpg
fawnpoint	Fawn Point	File:Naro, blue-eyed cross-siamese cat, at Josselin 14.jpg	Tsaag Valren	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Naro,_blue-eyed_cross-siamese_cat,_at_Josselin_14.jpg
cinnamonpoint	Cinnamon Point	File:Cinnamon the Cat.JPG	Leahrodrig	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:Cinnamon_the_Cat.JPG
chocolatetortie	Chocolate Tortie	File:Chocolate Tortie Pt 11636-130.jpg	Larry Johnson	CC0	https://commons.wikimedia.org/wiki/File:Chocolate_Tortie_Pt_11636-130.jpg
lilactortie	Lilac Tortie	File:Lilac tortoiseshell and white Oriental Shorthair cat no background.png	Heikki Siltala https://catza.net/	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Lilac_tortoiseshell_and_white_Oriental_Shorthair_cat_no_background.png
bluetortie	Blue Tortie	File:Siam-Katze-blue-tortie-tabby-point.jpg	Kamée	CC BY 3.0	https://commons.wikimedia.org/wiki/File:Siam-Katze-blue-tortie-tabby-point.jpg
apricotcat	Apricot Cat	File:A cream colored tabby cat lying on the ground, looking up expectantly.jpg	Wasianpower	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:A_cream_colored_tabby_cat_lying_on_the_ground,_looking_up_expectantly.jpg
bluesmoke	Blue Smoke	File:Bluesmoke Maine Coon Female cat.jpg	Krh315	Public domain	https://commons.wikimedia.org/wiki/File:Bluesmoke_Maine_Coon_Female_cat.jpg
silvertorbie	Silver Torbie	File:LaEsmeraldaNFC.jpg	LaEsmeralda	CC BY-SA 3.0	https://commons.wikimedia.org/wiki/File:LaEsmeraldaNFC.jpg
dilutetortie	Dilute Tortie	File:Dilute tortoiseshell cat 2.jpg	Spongeworthy93	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Dilute_tortoiseshell_cat_2.jpg
calibycat	Caliby Cat	File:Savannah, a Texas "caliby" cat.jpg	CharlieSauer	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Savannah,_a_Texas_%22caliby%22_cat.jpg
cinnamonoriental	Cinnamon Oriental	File:OSH 24-CH Clamoris Epeius (Omar).JPG	Heikki Siltala	CC BY 3.0	https://commons.wikimedia.org/wiki/File:OSH_24-CH_Clamoris_Epeius_(Omar).JPG
fawnoriental	Fawn Oriental	File:Whiti Oriental shorthair at Ft Lauderdale Cat show.jpg	Oriental_Shorthair_-_Cat_Show_-_Ft._Lauderdale_-_October_2008.jpg: Jill Saperstein from Boynton Beach, FL, USA derivative work: Abujoy (talk)	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Whiti_Oriental_shorthair_at_Ft_Lauderdale_Cat_show.jpg
chocolatepersian	Chocolate Persian	File:Chocolate Persian.jpg	Cindy See	CC BY-SA 2.0	https://commons.wikimedia.org/wiki/File:Chocolate_Persian.jpg
lilacpersian	Lilac Persian	File:Persanpoillong 2020 (cropped).jpg	Laurieblou	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:Persanpoillong_2020_(cropped).jpg
shadedgolden	Shaded Golden	File:British shorthair black golden shaded gatil mozziland portugal.jpg	MOZZILAND	CC BY-SA 4.0	https://commons.wikimedia.org/wiki/File:British_shorthair_black_golden_shaded_gatil_mozziland_portugal.jpg
