GuessSync E62 — «Guess the Herb or Spice» — Image Attributions
All images from Wikimedia Commons. 100 herbs & spices.
Format: slug — Name | Author | License | Source
urfabiber — Urfa Biber | E4024 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Urfa%20pepper%20isot.jpg
alepposorpepper — Aleppo Pepper | Badagnani | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Aleppopepper.jpg
greencardamom — Black Cardamom | CNEcija12345 | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Black%20cardamom%20pods.jpg

[IMPOSSIBLE]
grainsofselim — Grains of Selim | Unknown | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Xylopiaaethiopica.jpg
tonkabean — Tonka Bean | Mecredis / Fred Benenson | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Tonka%20Beans.jpg
wattleseed — Wattleseed | division, CSIRO | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:CSIRO%20ScienceImage%203155%20Roasted%20and%20Ground%20Seeds%20of%20the%20Elegant%20Wattle%20Acacia%20victoriae.jpg
salep — Salep | Kerbla Edzerdla | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Knabenkraut%20(256621249).jpeg
kokum — Kokum | Vivo78 | CC0 | https://commons.wikimedia.org/wiki/File:Dried%20Kokum%20rinds%20(dried%20outer%20skin%20of%20the%20Kokum%20fruit)%20used%20in%20Dried%20Baby%20Shrimp%20(Jawla)%20Curry.jpg
candlenut — Candlenut | Forest and Kim Starr | CC BY 3.0 us | https://commons.wikimedia.org/wiki/File:Starr-070215-4558-Aleurites%20moluccana-green%20nuts-Waihee-Maui%20(24856309396).jpg
voatsiperifery — Voatsiperifery Pepper | Didier Descouens | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Piper%20borbonense%20(Wild%20Voatsiperifery%20Pepper)%20Fianarantsoa%20Madagascar.jpg
andaliman — Andaliman | Jubbuh | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Andaliman.jpg
mastic — Mastic | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Mastic.jpg
akudjura — Akudjura | Melburnian | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Solanum%20centrale.jpg
pinkpepper — Pink Peppercorn | Netherzone | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Pink%20Peppercorns%20-%20Schinus%20molle.jpg
grainsofparadiseblack — Alligator Pepper | Shaddiii | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Grains%20of%20paradise%20(Aframomum%20melegueta).jpg
nagkesar — Nagkesar | Earlysalad | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Mesua%20ferrea%20flower.jpg
kalpasi — Kalpasi | https://cooking.stackexchange.com/users/4257/pll | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Kalpaasi%20black%20stone%20flower.jpg
anardana — Anardana | Miansari66 | Public domain | https://commons.wikimedia.org/wiki/File:Anardana.JPG
zedoary — Zedoary | Yercaud-elango | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Curcuma%20zedoaria-4-bsi-yercaud-salem-India.jpg
quassia — Quassia | Mokkie | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Bitter%20wood%20(Quassia%20amara).jpg
calamus — Calamus | H. Zell | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Acorus%20calamus%20002.JPG
spikenard — Spikenard | Plantagenet | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Nardostachys%20jatamansi%20rosettes%20cultivated%20outdoors%20in%20Yaroslavl%20Oblast.jpg
orris — Orris Root | Lucien Mahin | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Sousbinne%20souw%C3%A9.jpg
blacklime — Black Lime (Loomi) | Theinfo | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Loomi%20at%20market%20in%20Bahrain.JPG
fingerroot — Fingerroot | Kembangraps | Public domain | https://commons.wikimedia.org/wiki/File:Temu%20kunci.png
winteredsavory — Culantro | Mokkie | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Culantro%20(Eryngium%20foetidum)%207.jpg
hoja — Hoja Santa | Crista Castellanos | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Cacao%20criollo%20hoja%20detalle%20colombia%20slowfod%20guajira%20crista%20castellanos.jpg
boldo — Boldo | Dick Culbert from Gibsons, B.C., Canada | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Peumus%20boldus%2C%20fruit%20(8655729366).jpg
